GEOID,NAME,owner_occ_hh,B25011_002M,total_hh,B11007_001M,owner_occ_hh_pct
"42129","Westmoreland County, Pennsylvania",118624,1175,152288,816,78
"42111","Somerset County, Pennsylvania",23212,394,28857,436,80
"42097","Northumberland County, Pennsylvania",27151,582,37369,549,73
"42131","Wyoming County, Pennsylvania",8206,242,10600,209,77
"42051","Fayette County, Pennsylvania",39856,767,54097,723,74
"42027","Centre County, Pennsylvania",36509,722,57834,789,63
"42005","Armstrong County, Pennsylvania",21586,423,27704,337,78
"42041","Cumberland County, Pennsylvania",72682,1365,102532,725,71
"42095","Northampton County, Pennsylvania",85273,1262,119208,750,72
"42127","Wayne County, Pennsylvania",15630,370,19379,454,81
"42031","Clarion County, Pennsylvania",10357,354,14632,321,71
"42103","Pike County, Pennsylvania",19747,484,23351,495,85
"42099","Perry County, Pennsylvania",14377,267,17823,201,81
"42067","Juniata County, Pennsylvania",6482,225,8756,168,74
"42033","Clearfield County, Pennsylvania",24251,563,31195,491,78
"42123","Warren County, Pennsylvania",12501,270,16070,239,78
"42049","Erie County, Pennsylvania",73332,1173,108861,839,67
"42071","Lancaster County, Pennsylvania",144547,1485,207291,861,70
"42063","Indiana County, Pennsylvania",23032,597,32425,621,71
"42061","Huntingdon County, Pennsylvania",12162,326,15588,351,78
"42035","Clinton County, Pennsylvania",10248,293,14620,262,70
"42003","Allegheny County, Pennsylvania",354673,2533,545763,2113,65
"42045","Delaware County, Pennsylvania",147690,1638,214252,919,69
"42091","Montgomery County, Pennsylvania",235392,1835,327065,1082,72
"42053","Forest County, Pennsylvania",1511,124,1786,155,85
"42017","Bucks County, Pennsylvania",191523,1456,245200,861,78
"42101","Philadelphia County, Pennsylvania",338868,3546,646608,2427,52
"42133","York County, Pennsylvania",132460,1456,176428,880,75
"42089","Monroe County, Pennsylvania",46027,1232,59208,1153,78
"42043","Dauphin County, Pennsylvania",73916,1572,115703,1728,64
"42023","Cameron County, Pennsylvania",1517,95,2131,97,71
"42125","Washington County, Pennsylvania",65542,1057,86028,699,76
"42075","Lebanon County, Pennsylvania",38565,833,54758,519,70
"42059","Greene County, Pennsylvania",10745,360,13957,325,77
"42009","Bedford County, Pennsylvania",15345,379,19334,331,79
"42121","Venango County, Pennsylvania",15707,415,21033,335,75
"42079","Luzerne County, Pennsylvania",88877,1360,131556,949,68
"42073","Lawrence County, Pennsylvania",27131,560,36111,422,75
"42069","Lackawanna County, Pennsylvania",56921,913,87217,783,65
"42037","Columbia County, Pennsylvania",18085,489,25717,462,70
"42057","Fulton County, Pennsylvania",4646,121,5990,127,78
"42021","Cambria County, Pennsylvania",42108,672,55519,614,76
"42113","Sullivan County, Pennsylvania",2001,122,2398,128,83
"42065","Jefferson County, Pennsylvania",13378,288,17745,295,75
"42001","Adams County, Pennsylvania",31128,643,39908,443,78
"42081","Lycoming County, Pennsylvania",31637,699,45504,638,70
"42015","Bradford County, Pennsylvania",17760,400,24287,328,73
"42055","Franklin County, Pennsylvania",44517,899,61854,500,72
"42093","Montour County, Pennsylvania",5077,227,7476,201,68
"42083","McKean County, Pennsylvania",11985,345,15776,296,76
"42011","Berks County, Pennsylvania",113562,1388,160065,886,71
"42087","Mifflin County, Pennsylvania",13470,452,18641,329,72
"42119","Union County, Pennsylvania",9938,432,13880,400,72
"42077","Lehigh County, Pennsylvania",91733,1277,141775,795,65
"42109","Snyder County, Pennsylvania",10762,288,14373,295,75
"42019","Butler County, Pennsylvania",60253,787,78365,613,77
"42115","Susquehanna County, Pennsylvania",12107,273,15430,233,78
"42085","Mercer County, Pennsylvania",32585,618,45798,493,71
"42007","Beaver County, Pennsylvania",52609,854,71717,591,73
"42029","Chester County, Pennsylvania",148128,1356,198159,968,75
"42039","Crawford County, Pennsylvania",24536,529,33225,474,74
"42047","Elk County, Pennsylvania",10781,267,13499,218,80
"42107","Schuylkill County, Pennsylvania",43083,739,56763,673,76
"42025","Carbon County, Pennsylvania",19480,653,26312,531,74
"42117","Tioga County, Pennsylvania",12299,292,16340,282,75
"42013","Blair County, Pennsylvania",36071,698,50264,540,72
"42105","Potter County, Pennsylvania",5023,157,6385,190,79
